consequence	include
coding_sequence_variant&intron_variant&NMD_transcript_variant	0
3_prime_UTR_variant&intron_variant&NMD_transcript_variant	0
intron_variant&NMD_transcript_variant&feature_elongation	0
intron_variant&nc_transcript_variant&feature_elongation	0
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&feature_truncation	1
splice_region_variant&5_prime_UTR_variant	1
splice_donor_variant&splice_acceptor_variant&intron_variant&non_coding_exon_variant&nc_transcript_variant	0
5_prime_UTR_variant&intron_variant&feature_truncation	0
frameshift_variant&feature_elongation	1
frameshift_variant&NMD_transcript_variant&feature_truncation	0
synonymous_variant	0
intron_variant&feature_elongation	0
splice_region_variant&intron_variant&NMD_transcript_variant&feature_elongation	0
nc_transcript_variant&feature_truncation	0
stop_lost&coding_sequence_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
stop_gained&splice_region_variant	1
initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant	1
NMD_transcript_variant&feature_truncation	0
5_prime_UTR_variant&NMD_transcript_variant&feature_truncation	0
splice_acceptor_variant&nc_transcript_variant&feature_truncation	0
splice_region_variant&non_coding_exon_variant&nc_transcript_variant&feature_elongation	0
splice_region_variant&3_prime_UTR_variant	1
splice_donor_variant&splice_acceptor_variant&intron_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation	0
feature_truncation	0
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant	0
splice_acceptor_variant&NMD_transcript_variant&feature_truncation	0
stop_lost&inframe_deletion	1
3_prime_UTR_variant&intron_variant&feature_truncation	0
coding_sequence_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	0
3_prime_UTR_variant&feature_elongation	0
stop_lost&coding_sequence_variant&3_prime_UTR_variant&feature_truncation	1
stop_lost&initiator_codon_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant&feature_truncation	1
stop_lost&splice_region_variant	1
coding_sequence_variant&intron_variant&NMD_transcript_variant&feature_truncation	0
splice_acceptor_variant&intron_variant&non_coding_exon_variant&nc_transcript_variant	0
splice_donor_variant&feature_truncation	1
frameshift_variant&splice_region_variant&feature_elongation	1
splice_donor_variant&splice_acceptor_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_acceptor_variant&coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant	1
initiator_codon_variant&NMD_transcript_variant	0
splice_acceptor_variant&coding_sequence_variant&3_prime_UTR_variant&intron_variant	1
splice_donor_variant&splice_acceptor_variant&coding_sequence_variant&intron_variant	1
splice_region_variant&nc_transcript_variant&feature_elongation	0
synonymous_variant&NMD_transcript_variant	0
splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant&feature_truncation	0
frameshift_variant&stop_lost&3_prime_UTR_variant&feature_truncation	1
initiator_codon_variant&coding_sequence_variant&intron_variant	1
coding_sequence_variant&3_prime_UTR_variant	1
splice_donor_variant&coding_sequence_variant&intron_variant	1
3_prime_UTR_variant&intron_variant	0
3_prime_UTR_variant&NMD_transcript_variant&feature_elongation	0
5_prime_UTR_variant&feature_elongation	0
5_prime_UTR_variant&intron_variant&NMD_transcript_variant	0
5_prime_UTR_variant&NMD_transcript_variant	0
5_prime_UTR_variant&NMD_transcript_variant&feature_elongation	0
coding_sequence_variant&3_prime_UTR_variant&feature_elongation	1
coding_sequence_variant&feature_elongation	1
coding_sequence_variant&feature_truncation	1
coding_sequence_variant&intron_variant&feature_elongation	1
coding_sequence_variant&intron_variant&NMD_transcript_variant&feature_elongation	0
coding_sequence_variant&NMD_transcript_variant	0
coding_sequence_variant&NMD_transcript_variant&feature_elongation	0
downstream_gene_variant&feature_elongation	0
feature_elongation	0
intergenic_variant	0
intron_variant&non_coding_exon_variant&nc_transcript_variant&feature_elongation	0
nc_transcript_variant	0
nc_transcript_variant&feature_elongation	0
non_coding_exon_variant&nc_transcript_variant&feature_elongation	0
stop_retained_variant	0
upstream_gene_variant&feature_elongation	0
